# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.21077676504653517 0.301212800781982 -0.8142327666430342 0.4492983481901772 -0.03350010300838506 -0.18636436133948045 0.784197630047128 1 rgb_0.png

2 0.18952429723727252 0.3065505312858005 -0.8351811425328539 0.41542721586654413 -0.06307705906042126 -0.11839428977753941 0.8316338306434867 2 rgb_1.png

3 0.27894909307494037 0.40128070816933625 -0.7561097327798112 0.43526919109836715 -0.056462716467544534 -0.18407177067858096 0.8705661258470851 3 rgb_2.png

4 0.23812237585539658 0.4008426524703594 -0.7783859649212844 0.4204024163715854 -0.11479788814586624 -0.09718572433574416 0.8752312751304442 4 rgb_3.png

5 0.45901648289286406 0.5744401827155867 -0.5527758336316536 0.39212398889532235 0.013515463575796832 -0.06487112845591317 0.9665778433646166 5 rgb_4.png

6 0.45425279638032134 0.5902128874722081 -0.5603004578874221 0.36244522528724527 0.03627911875402112 0.0007087923959013675 0.9934165646779799 6 rgb_5.png

7 0.5426385543705482 0.735612569147932 -0.33998135861172296 0.22097561679684974 0.14958144024911446 -0.14927726370662533 0.9072878968091415 7 rgb_6.png

8 0.5134061933744122 0.7433352618587913 -0.36301284315097526 0.2282289306585901 0.09730719324182113 -0.004446589306517525 0.944481211328938 8 rgb_7.png

9 0.5326246924320867 0.8160324557627749 -0.19492187875829214 0.1113886409591989 0.1067227054481423 -0.1905554465455041 0.8133125570209063 9 rgb_8.png

10 0.5195128040474737 0.8287505648377655 -0.18347036009224094 0.09806923411264035 0.13872319811780517 -0.03431346537961602 0.8586713772940735 10 rgb_9.png

11 0.5333658943752787 0.8406228856395276 0.08016017404532749 -0.049480636145417735 0.1796763841874573 -0.2707130575340252 0.9598389477012501 11 rgb_10.png

12 0.5507500450952134 0.8310236519504219 0.06391173889218005 -0.04460232458496381 0.13624970767718603 -0.06803417482769711 1.0133730585162282 12 rgb_11.png

13 0.5557957650115554 0.7888204450256003 0.22129966377085875 -0.14099585781056873 0.0688213879569713 -0.17605194623663825 0.9571254694879113 13 rgb_12.png

14 0.5538712443693062 0.7871550609860568 0.22828873017471418 -0.14662131598116943 0.09373434592883079 0.004872993367723576 1.0045789700366257 14 rgb_13.png

15 0.5236400047819058 0.7258872189596419 0.3704005022469187 -0.2483794650897543 0.05001023386651193 -0.16912684221327226 0.9920023635855837 15 rgb_14.png

16 0.5221630055508489 0.7331243632752239 0.36456550908499896 -0.2386764613278765 0.035186441801047005 0.018640711455806567 1.0359123297556259 16 rgb_15.png

17 0.5604577941789294 0.8126024642699882 0.1236978769613507 -0.10130711348017775 -0.5362982442212629 -0.11459913326615408 0.8576109297039869 17 rgb_16.png

18 0.6505569835921668 0.7379578689697895 0.12751193665968863 -0.12623193230844354 -0.49667068605886094 0.1809801431867048 0.8784233958857728 18 rgb_17.png

19 0.6370244521781075 0.7327953053216592 0.19709011535893017 -0.13552259683728554 -0.39822536818894216 0.23041646044924355 0.9615818454846168 19 rgb_18.png

20 0.24828787938149827 0.44099071188174327 0.7571145113654338 -0.41310765868735916 0.2917849919650028 -0.12886487494497303 0.6036188207083506 20 rgb_19.png

21 0.315842896180958 0.4051302546070675 0.682665952512916 -0.5196921579297403 0.2959877247033378 0.24033876424537334 0.6332882115493733 21 rgb_20.png

22 0.30149721270212865 0.5097517416291832 0.7049304447646974 -0.3902892013401187 -0.035531382739017674 -0.1294964915449257 0.6102227489934844 22 rgb_21.png

23 0.34984208412129053 0.4544952543165036 0.6803333606553478 -0.45627962737870414 -0.01901277854348531 0.21127500821401538 0.6558188301157858 23 rgb_22.png

24 0.07097462018226793 0.15223217433775646 0.8618805197691279 -0.4784871346534612 -0.07397602714974612 -0.18366479703860084 0.7536436941534252 24 rgb_23.png

25 0.08991140780588247 0.1304953237473578 0.8283347530211612 -0.5373531856831305 -0.07741152044736742 0.123480580771207 0.8119493896250731 25 rgb_24.png

26 0.10426335040896437 0.10384620027038247 0.6911205128571944 -0.7075998566696509 -0.05707198545364223 0.34065887943284157 0.7527374828410351 26 rgb_25.png

27 0.4439500454490651 0.3729307534298877 -0.6099873495176484 0.540135579017364 0.14139231973572708 0.2683402274613279 0.8749402712207698 27 rgb_26.png

28 0.7068617031393737 0.6636428074657996 -0.19974033752995268 0.14152227491542077 0.1669799791214185 0.25593532151625326 0.8644291180706157 28 rgb_27.png

29 0.6798714358452549 0.7161800295824623 0.11753129556922426 -0.10510656740087446 -0.018597648156892712 0.19655495482344162 0.9011484947651079 29 rgb_28.png

